Te_K,lambda_nm,eps_re,eps_im,T,R,A,Fx,Fy,Fz,Ftot,mean_Ez2_over_Einc2,within_trusted_Te(<=6000K)
300,1240.0,0.314874,0.353650,0.870224,0.017164,0.112612,0.029358,0.001260,0.081958,0.112576,1.988529,1
300,1242.0,0.304956,0.356087,0.866875,0.016975,0.116150,0.029515,0.001282,0.085316,0.116113,2.059159,1
300,1244.0,0.295027,0.358527,0.863054,0.017004,0.119942,0.029667,0.001305,0.088931,0.119903,2.135227,1
300,1246.0,0.285085,0.360973,0.858704,0.017281,0.124015,0.029814,0.001330,0.092831,0.123975,2.217329,1
300,1248.0,0.275129,0.363423,0.853750,0.017839,0.128411,0.029955,0.001357,0.097058,0.128370,2.306340,1
300,1250.0,0.265160,0.365879,0.848121,0.018715,0.133165,0.030089,0.001386,0.101647,0.133122,2.403022,1
300,1252.0,0.255180,0.368340,0.841721,0.019951,0.138328,0.030215,0.001418,0.106650,0.138283,2.508475,1
300,1254.0,0.245185,0.370807,0.834444,0.021599,0.143957,0.030331,0.001453,0.112126,0.143911,2.623917,1
300,1256.0,0.235179,0.373278,0.826164,0.023716,0.150120,0.030438,0.001491,0.118143,0.150071,2.750782,1
300,1258.0,0.225159,0.375754,0.816730,0.026372,0.156897,0.030532,0.001533,0.124781,0.156846,2.890802,1
300,1260.0,0.215127,0.378236,0.805965,0.029651,0.164384,0.030612,0.001580,0.132139,0.164331,3.046009,1
300,1262.0,0.205081,0.380723,0.793653,0.033652,0.172695,0.030676,0.001631,0.140332,0.172639,3.218835,1
300,1264.0,0.195023,0.383216,0.779554,0.038489,0.181957,0.030721,0.001689,0.149488,0.181897,3.411953,1
300,1266.0,0.184951,0.385712,0.763325,0.044325,0.192351,0.030743,0.001753,0.159793,0.192288,3.629284,1
300,1268.0,0.174868,0.388216,0.744627,0.051324,0.204050,0.030738,0.001825,0.171421,0.203984,3.874387,1
300,1270.0,0.164770,0.390723,0.722988,0.059718,0.217294,0.030701,0.001905,0.184618,0.217223,4.152403,1
300,1272.0,0.154660,0.393236,0.697867,0.069783,0.232350,0.030624,0.001996,0.199655,0.232275,4.468950,1
300,1274.0,0.144537,0.395755,0.668624,0.081854,0.249522,0.030499,0.002099,0.216844,0.249441,4.830386,1
300,1276.0,0.134401,0.398279,0.634534,0.096330,0.269135,0.030315,0.002214,0.236519,0.269048,5.243507,1
300,1278.0,0.124252,0.400809,0.594824,0.113674,0.291501,0.030060,0.002344,0.259004,0.291408,5.714688,1
300,1280.0,0.114090,0.403344,0.548788,0.134374,0.316838,0.029717,0.002486,0.284533,0.316736,6.248258,1
300,1282.0,0.103915,0.405883,0.496121,0.158815,0.345064,0.029273,0.002640,0.313042,0.344954,6.841976,1
300,1284.0,0.093728,0.408430,0.437053,0.187252,0.375695,0.028712,0.002798,0.344067,0.375576,7.484840,1
300,1286.0,0.083527,0.410981,0.373775,0.219147,0.407078,0.028035,0.002947,0.375968,0.406950,8.140710,1
300,1288.0,0.073314,0.413537,0.310938,0.252922,0.436140,0.027264,0.003066,0.405674,0.436004,8.743218,1
300,1290.0,0.063087,0.416099,0.256966,0.285201,0.457833,0.026466,0.003120,0.428106,0.457692,9.184122,1
300,1292.0,0.052848,0.418667,0.223982,0.310466,0.465552,0.025761,0.003073,0.436576,0.465410,9.322796,1
300,1294.0,0.042595,0.421240,0.223766,0.322639,0.453595,0.025306,0.002897,0.425256,0.453459,9.039570,1
300,1296.0,0.032330,0.423818,0.261787,0.317670,0.420544,0.025229,0.002599,0.392591,0.420419,8.307257,1
300,1298.0,0.022051,0.426402,0.332852,0.296177,0.370971,0.025561,0.002221,0.343081,0.370863,7.226778,1
300,1300.0,0.011758,0.428992,0.422819,0.263330,0.313851,0.026215,0.001825,0.285721,0.313762,5.991417,1
300,1302.0,0.001454,0.431587,0.515900,0.226025,0.258075,0.027044,0.001464,0.229495,0.258003,4.790798,1
300,1304.0,-0.008863,0.434188,0.601325,0.189648,0.209027,0.027915,0.001166,0.179889,0.208969,3.738491,1
300,1306.0,-0.019194,0.436794,0.673545,0.157456,0.168999,0.028736,0.000936,0.139282,0.168954,2.881724,1
300,1308.0,-0.029538,0.439406,0.731921,0.130442,0.137637,0.029469,0.000766,0.107366,0.137600,2.211568,1
300,1310.0,-0.039895,0.442025,0.777540,0.108634,0.113826,0.030098,0.000645,0.083052,0.113796,1.703211,1
300,1312.0,-0.050265,0.444648,0.812622,0.091368,0.096010,0.030632,0.000561,0.064791,0.095984,1.322894,1
300,1314.0,-0.060647,0.447277,0.839277,0.077893,0.082830,0.031081,0.000505,0.051221,0.082807,1.041268,1
300,1316.0,-0.071045,0.449912,0.859337,0.067493,0.073170,0.031458,0.000469,0.041222,0.073149,0.834355,1
300,1318.0,-0.081452,0.452552,0.874283,0.059554,0.066162,0.031777,0.000448,0.033918,0.066143,0.683557,1
300,1320.0,-0.091875,0.455199,0.885255,0.053586,0.061159,0.032047,0.000437,0.028657,0.061140,0.575029,1
300,1322.0,-0.102311,0.457851,0.893189,0.049165,0.057646,0.032278,0.000433,0.024917,0.057628,0.497838,1
300,1324.0,-0.112759,0.460509,0.898740,0.045989,0.055270,0.032476,0.000436,0.022340,0.055252,0.444452,1
300,1326.0,-0.123220,0.463171,0.902423,0.043816,0.053761,0.032648,0.000442,0.020652,0.053742,0.409135,1
300,1328.0,-0.133694,0.465842,0.904650,0.042441,0.052909,0.032799,0.000451,0.019640,0.052890,0.387432,1
300,1330.0,-0.144181,0.468517,0.905728,0.041712,0.052559,0.032931,0.000463,0.019145,0.052539,0.376080,1
300,1332.0,-0.154682,0.471198,0.905891,0.041510,0.052599,0.033049,0.000476,0.019053,0.052578,0.372697,1
300,1334.0,-0.165196,0.473885,0.905327,0.041735,0.052938,0.033155,0.000490,0.019270,0.052916,0.375377,1
300,1336.0,-0.175723,0.476577,0.904184,0.042309,0.053507,0.033251,0.000506,0.019728,0.053485,0.382695,1
300,1338.0,-0.186262,0.479276,0.902578,0.043166,0.054256,0.033339,0.000522,0.020372,0.054233,0.393549,1
300,1340.0,-0.196815,0.481981,0.900602,0.044255,0.055143,0.033420,0.000539,0.021160,0.055119,0.407085,1
300,1342.0,-0.207381,0.484691,0.898331,0.045533,0.056136,0.033495,0.000556,0.022059,0.056110,0.422639,1
300,1344.0,-0.217960,0.487407,0.895828,0.046963,0.057209,0.033566,0.000574,0.023042,0.057182,0.439664,1
300,1346.0,-0.228552,0.490130,0.893136,0.048521,0.058343,0.033634,0.000591,0.024090,0.058315,0.457787,1
300,1348.0,-0.239158,0.492859,0.890304,0.050174,0.059521,0.033699,0.000610,0.025184,0.059492,0.476634,1
300,1350.0,-0.249776,0.495593,0.887357,0.051910,0.060733,0.033761,0.000628,0.026313,0.060702,0.495987,1
300,1352.0,-0.260407,0.498333,0.884331,0.053705,0.061964,0.033823,0.000647,0.027463,0.061932,0.515586,1
300,1354.0,-0.271052,0.501079,0.881243,0.055549,0.063208,0.033883,0.000665,0.028627,0.063175,0.535286,1
300,1356.0,-0.281710,0.503832,0.878108,0.057433,0.064459,0.033942,0.000684,0.029799,0.064425,0.554971,1
300,1358.0,-0.292380,0.506590,0.874952,0.059339,0.065709,0.034001,0.000703,0.030970,0.065674,0.574473,1
300,1360.0,-0.303064,0.509355,0.871784,0.061263,0.066953,0.034060,0.000722,0.032135,0.066917,0.593721,1
400,1240.0,0.317453,0.353337,0.870656,0.017174,0.112170,0.029343,0.001259,0.081532,0.112134,1.979937,1
400,1242.0,0.307543,0.355772,0.867336,0.016976,0.115689,0.029501,0.001281,0.084870,0.115652,2.050195,1
400,1244.0,0.297622,0.358211,0.863546,0.016995,0.119460,0.029654,0.001304,0.088463,0.119421,2.125867,1
400,1246.0,0.287688,0.360655,0.859229,0.017260,0.123511,0.029802,0.001329,0.092340,0.123471,2.207547,1
400,1248.0,0.277740,0.363104,0.854312,0.017805,0.127883,0.029944,0.001356,0.096542,0.127842,2.296110,1
400,1250.0,0.267780,0.365558,0.848723,0.018666,0.132612,0.030079,0.001385,0.101105,0.132569,2.392313,1
400,1252.0,0.257808,0.368017,0.842366,0.019887,0.137748,0.030206,0.001417,0.106080,0.137703,2.497254,1
400,1254.0,0.247822,0.370482,0.835135,0.021517,0.143348,0.030324,0.001452,0.111526,0.143302,2.612150,1
400,1256.0,0.237824,0.372952,0.826905,0.023616,0.149479,0.030432,0.001490,0.117510,0.149431,2.738430,1
400,1258.0,0.227812,0.375427,0.817525,0.026252,0.156223,0.030528,0.001532,0.124113,0.156172,2.877826,1
400,1260.0,0.217788,0.377907,0.806818,0.029508,0.163674,0.030610,0.001578,0.131433,0.163621,3.032367,1
400,1262.0,0.207751,0.380393,0.794569,0.033485,0.171946,0.030676,0.001630,0.139585,0.171890,3.204483,1
400,1264.0,0.197701,0.382884,0.780537,0.038297,0.181166,0.030723,0.001687,0.148698,0.181107,3.396851,1
400,1266.0,0.187638,0.385378,0.764378,0.044105,0.191517,0.030748,0.001751,0.158956,0.191454,3.613392,1
400,1268.0,0.177563,0.387881,0.745755,0.051076,0.203169,0.030746,0.001823,0.170535,0.203103,3.857677,1
400,1270.0,0.167473,0.390387,0.724194,0.059441,0.216365,0.030712,0.001904,0.183679,0.216295,4.134863,1
400,1272.0,0.157372,0.392898,0.699150,0.069477,0.231372,0.030639,0.001995,0.198664,0.231297,4.450598,1
400,1274.0,0.147257,0.395416,0.669982,0.081521,0.248497,0.030518,0.002097,0.215801,0.248416,4.811290,1
400,1276.0,0.137130,0.397937,0.635956,0.095976,0.268067,0.030339,0.002213,0.235429,0.267981,5.223817,1
400,1278.0,0.126989,0.400466,0.596291,0.113308,0.290401,0.030089,0.002342,0.257877,0.290308,5.694683,1
400,1280.0,0.116836,0.402999,0.550261,0.134014,0.315725,0.029752,0.002485,0.283387,0.315624,6.228415,1
400,1282.0,0.106669,0.405537,0.497540,0.158489,0.343971,0.029313,0.002639,0.311910,0.343862,6.823047,1
400,1284.0,0.096491,0.408082,0.438324,0.187004,0.374672,0.028758,0.002798,0.342997,0.374553,7.467941,1
400,1286.0,0.086298,0.410632,0.374767,0.219042,0.406192,0.028085,0.002948,0.375031,0.406064,8.127325,1
400,1288.0,0.076093,0.413186,0.311492,0.253038,0.435470,0.027317,0.003068,0.404950,0.435334,8.735023,1
400,1290.0,0.065875,0.415746,0.256940,0.285613,0.457447,0.026516,0.003124,0.427666,0.457306,9.182449,1
400,1292.0,0.055644,0.418313,0.223333,0.311206,0.465462,0.025807,0.003077,0.436436,0.465320,9.327690,1
400,1294.0,0.045400,0.420884,0.222620,0.323654,0.453726,0.025343,0.002902,0.425345,0.453590,9.049115,1
400,1296.0,0.035143,0.423461,0.260433,0.318817,0.420750,0.025256,0.002603,0.392766,0.420626,8.317997,1
400,1298.0,0.024873,0.426043,0.331605,0.297285,0.371110,0.025578,0.002223,0.343201,0.371003,7.235408,1
400,1300.0,0.014589,0.428631,0.421875,0.264273,0.313852,0.026224,0.001825,0.285714,0.313763,5.996295,1
400,1302.0,0.004293,0.431225,0.515296,0.226760,0.257944,0.027046,0.001463,0.229363,0.257872,4.792073,1
400,1304.0,-0.006016,0.433823,0.601001,0.190190,0.208809,0.027911,0.001164,0.179676,0.208751,3.737215,1
400,1306.0,-0.016338,0.436429,0.673412,0.157846,0.168742,0.028728,0.000933,0.139036,0.168697,2.879048,1
400,1308.0,-0.026673,0.439039,0.731902,0.130722,0.137376,0.029457,0.000763,0.107120,0.137339,2.208341,1
400,1310.0,-0.037022,0.441656,0.777583,0.108837,0.113580,0.030083,0.000643,0.082824,0.113549,1.699945,1
400,1312.0,-0.047383,0.444277,0.812695,0.091519,0.095787,0.030614,0.000559,0.064588,0.095761,1.319843,1
400,1314.0,-0.057757,0.446905,0.839362,0.078007,0.082631,0.031061,0.000503,0.051044,0.082608,1.038523,1
400,1316.0,-0.068145,0.449538,0.859425,0.067582,0.072993,0.031437,0.000467,0.041068,0.072972,0.831923,1
400,1318.0,-0.078544,0.452177,0.874372,0.059625,0.066003,0.031755,0.000446,0.033783,0.065984,0.681400,1
400,1320.0,-0.088958,0.454822,0.885343,0.053643,0.061014,0.032024,0.000435,0.028536,0.060995,0.573093,1
400,1322.0,-0.099385,0.457472,0.893278,0.049211,0.057511,0.032254,0.000432,0.024807,0.057493,0.496069,1
400,1324.0,-0.109825,0.460128,0.898830,0.046027,0.055143,0.032452,0.000434,0.022238,0.055124,0.442799,1
400,1326.0,-0.120277,0.462789,0.902516,0.043846,0.053638,0.032623,0.000440,0.020556,0.053619,0.407553,1
400,1328.0,-0.130743,0.465457,0.904747,0.042466,0.052788,0.032773,0.000450,0.019546,0.052769,0.385886,1
400,1330.0,-0.141221,0.468131,0.905830,0.041731,0.052438,0.032906,0.000461,0.019051,0.052418,0.374540,1
400,1332.0,-0.151713,0.470810,0.905999,0.041525,0.052476,0.033024,0.000474,0.018958,0.052456,0.371140,1
400,1334.0,-0.162218,0.473496,0.905441,0.041746,0.052813,0.033129,0.000489,0.019173,0.052791,0.373786,1
400,1336.0,-0.172736,0.476186,0.904305,0.042316,0.053379,0.033225,0.000504,0.019628,0.053357,0.381058,1
400,1338.0,-0.183267,0.478883,0.902706,0.043170,0.054124,0.033313,0.000520,0.020268,0.054101,0.391857,1
400,1340.0,-0.193811,0.481586,0.900736,0.044257,0.055007,0.033394,0.000537,0.021052,0.054982,0.405332,1
400,1342.0,-0.204368,0.484294,0.898472,0.045533,0.055995,0.033469,0.000554,0.021946,0.055969,0.420823,1
400,1344.0,-0.214938,0.487009,0.895976,0.046962,0.057063,0.033540,0.000572,0.022925,0.057036,0.437785,1
400,1346.0,-0.225521,0.489730,0.893290,0.048518,0.058193,0.033607,0.000589,0.023968,0.058165,0.455846,1
400,1348.0,-0.236118,0.492458,0.890464,0.050170,0.059366,0.033672,0.000607,0.025058,0.059337,0.474633,1
400,1350.0,-0.246727,0.495190,0.887522,0.051905,0.060573,0.033735,0.000626,0.026183,0.060543,0.493931,1
400,1352.0,-0.257350,0.497928,0.884500,0.053700,0.061800,0.033796,0.000644,0.027329,0.061768,0.513480,1
400,1354.0,-0.267985,0.500672,0.881417,0.055543,0.063040,0.033855,0.000663,0.028489,0.063007,0.533136,1
400,1356.0,-0.278635,0.503424,0.878286,0.057427,0.064287,0.033914,0.000681,0.029658,0.064253,0.552783,1
400,1358.0,-0.289296,0.506180,0.875134,0.059333,0.065533,0.033973,0.000700,0.030825,0.065498,0.572254,1
400,1360.0,-0.299971,0.508943,0.871969,0.061256,0.066775,0.034032,0.000719,0.031987,0.066739,0.591480,1
500,1240.0,0.320758,0.352935,0.871205,0.017188,0.111607,0.029325,0.001258,0.080989,0.111572,1.968992,1
500,1242.0,0.310859,0.355368,0.867921,0.016978,0.115101,0.029483,0.001280,0.084301,0.115064,2.038776,1
500,1244.0,0.300948,0.357805,0.864172,0.016983,0.118845,0.029638,0.001303,0.087867,0.118807,2.113943,1
500,1246.0,0.291025,0.360247,0.859898,0.017233,0.122869,0.029786,0.001328,0.091715,0.122829,2.195086,1
500,1248.0,0.281088,0.362694,0.855028,0.017762,0.127211,0.029930,0.001355,0.095886,0.127170,2.283076,1
500,1250.0,0.271138,0.365146,0.849488,0.018605,0.131907,0.030066,0.001384,0.100415,0.131865,2.378667,1
500,1252.0,0.261176,0.367604,0.843186,0.019805,0.137008,0.030194,0.001416,0.105354,0.136964,2.482956,1
500,1254.0,0.251201,0.370067,0.836014,0.021414,0.142572,0.030314,0.001450,0.110761,0.142526,2.597153,1
500,1256.0,0.241214,0.372535,0.827848,0.023489,0.148663,0.030424,0.001488,0.116703,0.148615,2.722686,1
500,1258.0,0.231212,0.375008,0.818537,0.026099,0.155364,0.030522,0.001530,0.123262,0.155314,2.861282,1
500,1260.0,0.221199,0.377485,0.807904,0.029327,0.162769,0.030606,0.001577,0.130533,0.162716,3.014969,1
500,1262.0,0.211173,0.379969,0.795735,0.033273,0.170991,0.030675,0.001628,0.138633,0.170936,3.186176,1
500,1264.0,0.201133,0.382458,0.781789,0.038053,0.180159,0.030725,0.001685,0.147690,0.180100,3.377580,1
500,1266.0,0.191081,0.384951,0.765721,0.043826,0.190452,0.030754,0.001749,0.157888,0.190391,3.593105,1
500,1268.0,0.181016,0.387451,0.747194,0.050760,0.202045,0.030756,0.001821,0.169403,0.201980,3.836336,1
500,1270.0,0.170937,0.389955,0.725733,0.059088,0.215179,0.030726,0.001901,0.182482,0.215109,4.112448,1
500,1272.0,0.160847,0.392465,0.700790,0.069087,0.230123,0.030658,0.001992,0.197398,0.230048,4.427128,1
500,1274.0,0.150743,0.394980,0.671718,0.081096,0.247186,0.030543,0.002095,0.214468,0.247106,4.786848,1
500,1276.0,0.140626,0.397500,0.637777,0.095522,0.266700,0.030370,0.002210,0.234034,0.266614,5.198586,1
500,1278.0,0.130496,0.400027,0.598170,0.112838,0.288992,0.030126,0.002340,0.256433,0.288899,5.669014,1
500,1280.0,0.120354,0.402558,0.552154,0.133549,0.314297,0.029797,0.002483,0.281917,0.314197,6.202904,1
500,1282.0,0.110198,0.405094,0.499368,0.158066,0.342566,0.029365,0.002638,0.310454,0.342457,6.798651,1
500,1284.0,0.100031,0.407636,0.439967,0.186680,0.373352,0.028817,0.002798,0.341620,0.373234,7.446080,1
500,1286.0,0.089849,0.410184,0.376057,0.218898,0.405045,0.028150,0.002950,0.373819,0.404918,8.109905,1
500,1288.0,0.079655,0.412736,0.312226,0.253176,0.434598,0.027384,0.003071,0.404008,0.434463,8.724213,1
500,1290.0,0.069448,0.415294,0.256931,0.286131,0.456939,0.026582,0.003129,0.427087,0.456798,9.180000,1
500,1292.0,0.059227,0.417859,0.222518,0.312147,0.465335,0.025866,0.003084,0.436244,0.465194,9.333720,1
500,1294.0,0.048995,0.420428,0.221161,0.324951,0.453888,0.025391,0.002909,0.425452,0.453752,9.061202,1
500,1296.0,0.038748,0.423002,0.258699,0.320289,0.421012,0.025291,0.002609,0.392988,0.420888,8.331702,1
500,1298.0,0.028489,0.425582,0.330004,0.298708,0.371288,0.025600,0.002227,0.343354,0.371181,7.246459,1
500,1300.0,0.018216,0.428169,0.420661,0.265486,0.313853,0.026235,0.001826,0.285703,0.313764,6.002550,1
500,1302.0,0.007931,0.430760,0.514518,0.227705,0.257776,0.027048,0.001462,0.229194,0.257705,4.793710,1
500,1304.0,-0.002367,0.433357,0.600583,0.190887,0.208530,0.027906,0.001161,0.179405,0.208473,3.735584,1
500,1306.0,-0.012678,0.435960,0.673239,0.158347,0.168414,0.028717,0.000930,0.138721,0.168369,2.875624,1
500,1308.0,-0.023002,0.438568,0.731877,0.131081,0.137043,0.029441,0.000760,0.106805,0.137006,2.204214,1
500,1310.0,-0.033340,0.441183,0.777637,0.109098,0.113265,0.030064,0.000640,0.082532,0.113235,1.695770,1
500,1312.0,-0.043689,0.443802,0.812786,0.091712,0.095501,0.030591,0.000556,0.064328,0.095476,1.315944,1
500,1314.0,-0.054052,0.446427,0.839469,0.078154,0.082376,0.031036,0.000501,0.050817,0.082354,1.035018,1
500,1316.0,-0.064430,0.449058,0.859537,0.067697,0.072766,0.031410,0.000465,0.040871,0.072746,0.828817,1
500,1318.0,-0.074818,0.451695,0.874484,0.059716,0.065800,0.031726,0.000444,0.033611,0.065781,0.678646,1
500,1320.0,-0.085220,0.454338,0.885455,0.053716,0.060829,0.031994,0.000433,0.028383,0.060810,0.570622,1
500,1322.0,-0.095636,0.456986,0.893390,0.049270,0.057340,0.032223,0.000430,0.024668,0.057321,0.493812,1
500,1324.0,-0.106064,0.459640,0.898945,0.046075,0.054980,0.032420,0.000432,0.022109,0.054962,0.440690,1
500,1326.0,-0.116506,0.462298,0.902635,0.043885,0.053481,0.032591,0.000439,0.020432,0.053462,0.405535,1
500,1328.0,-0.126960,0.464965,0.904870,0.042497,0.052633,0.032741,0.000448,0.019425,0.052614,0.383912,1
500,1330.0,-0.137427,0.467636,0.905961,0.041756,0.052284,0.032873,0.000459,0.018931,0.052264,0.372574,1
500,1332.0,-0.147908,0.470313,0.906137,0.041543,0.052320,0.032991,0.000472,0.018836,0.052300,0.369153,1
500,1334.0,-0.158402,0.472997,0.905587,0.041760,0.052653,0.033096,0.000487,0.019049,0.052632,0.371755,1
500,1336.0,-0.168909,0.475685,0.904459,0.042325,0.053215,0.033192,0.000502,0.019499,0.053193,0.378967,1
500,1338.0,-0.179428,0.478379,0.902869,0.043176,0.053955,0.033279,0.000518,0.020135,0.053932,0.389694,1
500,1340.0,-0.189961,0.481080,0.900908,0.044259,0.054832,0.033360,0.000535,0.020913,0.054808,0.403092,1
500,1342.0,-0.200507,0.483786,0.898652,0.045533,0.055815,0.033435,0.000552,0.021802,0.055789,0.418501,1
500,1344.0,-0.211065,0.486499,0.896164,0.046960,0.056876,0.033506,0.000569,0.022775,0.056850,0.435381,1
500,1346.0,-0.221637,0.489218,0.893486,0.048514,0.058000,0.033573,0.000587,0.023813,0.057973,0.453361,1
500,1348.0,-0.232223,0.491943,0.890667,0.050165,0.059168,0.033638,0.000604,0.024897,0.059139,0.472072,1
500,1350.0,-0.242821,0.494673,0.887732,0.051899,0.060368,0.033700,0.000623,0.026016,0.060339,0.491298,1
500,1352.0,-0.253432,0.497408,0.884717,0.053693,0.061590,0.033761,0.000641,0.027157,0.061559,0.510782,1
500,1354.0,-0.264056,0.500151,0.881640,0.055536,0.062825,0.033821,0.000659,0.028312,0.062792,0.530379,1
500,1356.0,-0.274694,0.502900,0.878514,0.057419,0.064067,0.033879,0.000678,0.029476,0.064034,0.549977,1
500,1358.0,-0.285344,0.505653,0.875367,0.059324,0.065309,0.033938,0.000697,0.030640,0.065274,0.569408,1
500,1360.0,-0.296007,0.508414,0.872206,0.061247,0.066547,0.033997,0.000716,0.031799,0.066511,0.588602,1
600,1240.0,0.324780,0.352446,0.871866,0.017207,0.110927,0.029301,0.001257,0.080334,0.110892,1.955772,1
600,1242.0,0.314894,0.354877,0.868628,0.016981,0.114391,0.029461,0.001278,0.083615,0.114355,2.024981,1
600,1244.0,0.304997,0.357311,0.864926,0.016970,0.118104,0.029617,0.001301,0.087148,0.118066,2.099537,1
600,1246.0,0.295086,0.359751,0.860705,0.017202,0.122093,0.029767,0.001326,0.090961,0.122054,2.180031,1
600,1248.0,0.285162,0.362196,0.855890,0.017711,0.126399,0.029912,0.001353,0.095093,0.126358,2.267326,1
600,1250.0,0.275225,0.364645,0.850412,0.018532,0.131056,0.030050,0.001382,0.099582,0.131014,2.362177,1
600,1252.0,0.265276,0.367101,0.844176,0.019708,0.136116,0.030180,0.001414,0.104478,0.136072,2.465674,1
600,1254.0,0.255314,0.369561,0.837076,0.021290,0.141634,0.030302,0.001448,0.109838,0.141588,2.579024,1
600,1256.0,0.245339,0.372027,0.828987,0.023336,0.147677,0.030414,0.001486,0.115729,0.147630,2.703650,1
600,1258.0,0.235351,0.374497,0.819759,0.025915,0.154326,0.030515,0.001528,0.122233,0.154276,2.841275,1
600,1260.0,0.225350,0.376973,0.809217,0.029109,0.161675,0.030602,0.001574,0.129446,0.161622,2.993923,1
600,1262.0,0.215337,0.379454,0.797144,0.033018,0.169837,0.030674,0.001626,0.137482,0.169782,3.164022,1
600,1264.0,0.205311,0.381941,0.783302,0.037758,0.178940,0.030728,0.001683,0.146471,0.178882,3.354250,1
600,1266.0,0.195271,0.384431,0.767346,0.043489,0.189165,0.030760,0.001747,0.156597,0.189103,3.568533,1
600,1268.0,0.185220,0.386929,0.748937,0.050379,0.200685,0.030767,0.001818,0.168034,0.200620,3.810473,1
600,1270.0,0.175154,0.389430,0.727597,0.058660,0.213742,0.030743,0.001899,0.181031,0.213673,4.085265,1
600,1272.0,0.165076,0.391937,0.702778,0.068613,0.228609,0.030681,0.001989,0.195865,0.228535,4.398642,1
600,1274.0,0.154986,0.394450,0.673826,0.080579,0.245595,0.030572,0.002092,0.212852,0.245516,4.757148,1
600,1276.0,0.144882,0.396967,0.639990,0.094970,0.265040,0.030407,0.002208,0.232341,0.264955,5.167887,1
600,1278.0,0.134766,0.399492,0.600459,0.112264,0.287277,0.030171,0.002338,0.254676,0.287185,5.637726,1
